Name,Type,Dernier Chapitre Lu,Mise à Jour,Tier,Status,Langue,Commentaire,"Lien vers ",Jour de sortie
The Count’s Youngest Son is a Player,Manhwa,31,"March 25, 2024 12:38 AM",A,Lecture,Fr,,https://starboundscans.com/series/4ee75e24660/,
Revenge of the Sword Clan’s Hound,Manhwa,74,"August 5, 2024 11:57 AM",SS,En Pause,Fr,"Hiatus,reprise Septembre",https://reaperscans.fr/serie/revenge-of-the-sword-clans-hound/,Dimanche
Limited Extra Time,Manhwa,72,"August 14, 2024 1:52 PM",A+,Arreter,Ang,,https://zinmanga.com/manga/limited-extra-time-the-time-of-the-terminally-ill-extra/,
Your Talent is Mine,Manhua,89,"August 31, 2024 1:35 AM",A+,Lecture,Fr,,https://reaperscans.fr/serie/your-talent-is-mine/,Alétoire
"She’s a Villain, but Her Husband is Handsome",Manhwa,31,"March 26, 2024 7:06 PM",B,Lecture,Fr,,https://manga-scantrad.io/manga/shes-a-villain-but-her-husband-is-handsome/,
The Regressed Son of a Duke is an Assassin,Manhwa,38,"September 5, 2024 11:44 AM",S,Lecture,Fr,,https://phenixscans.fr/manga/the-regressed-son-of-a-duke-is-an-assassin/,Dimanche
Regressing with the King’s Power,Manhwa,52,"September 2, 2024 9:23 AM",S,Lecture,Fr,,https://starboundscans.com/series/3ab7611f6d2/,
Monster pet evolution,Manhua,7,"August 14, 2024 1:52 PM",B,Arreter,Fr,,https://manga-scantrad.io/manga/monster-pet-evolution/,
I Killed an Academy Player,Manhwa,48,"September 2, 2024 9:23 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/v401734-i-killed-an-academy-player/,
Mightiest Melee Magician,Manhwa,35,"August 14, 2024 1:52 PM",A,En Pause,Fr,,https://reaperscans.fr/serie/mightiest-melee-magician/,
Reincarnation of a Martial Prodigy,Manhua,13,"March 27, 2024 6:42 PM",B,Lecture,Fr,,https://phenixscans.fr/manga/reincarnation-of-a-martial-prodigy/,
Sleeping Ranker,Manhwa,103,"August 14, 2024 1:53 PM",A+,En Pause,Fr,,https://phenixscans.fr/manga/v293037-sleeping-ranker/,
Terminally-Ill Genius Dark Knight,Manhwa,60,"June 11, 2024 11:50 AM",S,Lecture,Ang,,https://asuratoon.com/manga/9188439096-terminally-ill-genius-dark-knight/,"Mardi, Mercredi"
Royal Marriage,Manhwa,60,"March 28, 2024 7:35 PM",A,Lecture,Ang,,https://mangazin.org/manga/royal-marriage/,
The Indomitable Martial King,Manhwa,44,"August 31, 2024 1:35 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/the-indomitable-martial-king/,
A Modern Man Who Transmigrated Into the Murim World,Manhwa,74,"September 2, 2024 9:22 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/a-modern-man-who-transmigrated-into-the-murim-world-v76638897/,
The Male Lead’s Nephew Like Me So Much,Manhwa,57,"March 23, 2024 11:47 PM",B,Lecture,Ang,,https://zinmanga.com/manga/the-male-leads-nephew-like-me-so-much/,
Chronicles of the Demon Faction,Manhwa,77,"August 31, 2024 1:34 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/v211360-chronicles-of-the-demon-faction/,
Genius of the Unique Lineage,Manhwa,78,"September 5, 2024 11:44 AM",A+,Lecture,Fr,,https://phenixscans.fr/manga/v841733-genius-of-the-unique-lineage/,
Kalli The Champion,Manhwa,76,"August 14, 2024 1:49 PM",A+,Lecture,Ang,,https://manhuaus.com/manga/kalli-the-champion/,
Solo Farming In The Tower,Manhwa,67,"August 11, 2024 11:41 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/solo-farming-in-the-tower/,
Demonic Evolution,Manhwa,71,"September 2, 2024 9:27 AM",A,Lecture,Ang,,https://manhuaus.org/manga/demonic-evolution/,
My School Life Pretending to Be a Worthless Person,Manhwa,56,"May 8, 2024 12:01 PM",A+,Lecture,Fr,,https://phenixscans.fr/manga/my-school-life-pretending-to-be-a-worthless-person/,
The Main Characters That Only I Know,Manhwa,31,"June 16, 2024 5:39 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/the-main-characters-that-only-i-know/,
I Became the Tyrant of a Defense Game,Manhwa,87,"May 31, 2024 8:40 PM",A+,En Pause,Fr,,https://phenixscans.fr/manga/v410733-tyrant-of-the-tower-defense-game/,
Ranker Return,Manhwa,156,"August 12, 2024 9:54 PM",S,Lecture,Fr,,https://drive.google.com/drive/folders/15K9B2cW_jW2JmaqE-28trew14809IoVd,Lundi
The Real Daughter Is Back,Manhwa,105,"July 10, 2024 11:35 AM",S,Lecture,Fr,"Les chapitre sont sur discord ",,
World’s Strongest Troll,Manhwa,71,"May 24, 2024 4:57 PM",A+,Lecture,Fr,,https://raijinscans.fr/manga/the-games-strongest-troller/,
Duke Pendragon,Manhwa,116,"June 12, 2024 10:30 PM",S,Lecture,Fr,,https://reaperscans.fr/serie/duke-pendragon/,
The Executioner,Manhwa,8,"May 31, 2024 8:39 PM",A,En Pause,Fr,,https://phenixscans.fr/manga/the-executioner/,
Blue Lock,Manga,268,"July 10, 2024 11:35 AM",SS,Lecture,Fr,,,
Demonic Emperor,Manhwa,501,"September 5, 2024 8:36 AM",SS,Lecture,Fr,,https://phenixscans.fr/manga/demonic-emperor/,
Hunter Academy’s Battle God,Manhwa,37,"September 2, 2024 9:26 AM",A,Lecture,Fr,,https://reaperscans.fr/serie/hunter-academys-battle-god/,
Regression of the Close Combat Mage,Manhwa,29,"August 3, 2024 7:57 PM",A,Lecture,Fr,,https://manga-scantrad.io/manga/regression-of-the-close-combat-mage/,
I Became The Youngest Prince In The Novel,Manhwa,13,"May 14, 2024 9:34 PM",A,Lecture,Fr,,https://phenixscans.fr/manga/i-became-the-youngest-prince-in-the-novel/,
Reincarnation of the Warrior Party Archmage,Manhwa,31,"June 14, 2024 11:49 AM",A,Lecture,Fr,,https://phenixscans.fr/manga/reincarnation-of-the-warrior-party-archmage/,
The Return of the Disaster-Class Hero,Manhwa,89,"September 2, 2024 9:22 AM",S,Lecture,Fr,,,
The Martial God who Regressed Back to Level 2,Manhwa,65,"August 31, 2024 1:35 AM",S,Lecture,Fr,,,
